ground_data_tree_id,aerial_data_tree_id,stem_id,species,stem_diameter,agb,score,aerial_data_height,area,UTM_2018_X,UTM_2018_Y,left,bottom,right,top,tree_status,census_codes,adbin,gdbin
3173,65af4480-b3a3-425f-a451-89f8c5d16d28,3173,litu,797.0,1084628.39713001,0.6600065231323242,33.2077993,31.8000000002794,747404.2,4308907.8,747399.5,4308906.7,747404.8,4308912.7,A,main,5,5
17114,f69771a0-affd-43a9-9626-313346431ee8,17114,litu,522.0,401349.875336779,0.6593943238258362,31.2040005,82.77000000387896,747631.1,4308528.9,747628.1,4308523.6,747637.4,4308532.5,A,main,5,5
14966,5a07aece-9301-4b5d-905a-049030fb6889,14966,quru,130.0,15929.5485188428,0.6589948534965515,26.4932996,27.02999999954365,747591.2,4308948.9,747589.2,4308945.2,747594.3,4308950.5,A,main,4,4
21689,ef007a15-0a15-49b7-8365-67b599330112,21689,vipr,53.0,1998.25872781679,0.65889573097229,27.7124005,26.49999999906868,747670.5,4308775.7,747666.5,4308775.0,747671.5,4308780.3,A,L;M,4,4
19970,31b9aa19-3da9-4d99-9766-da868dcac2e5,19970,caco,231.0,63424.4569708616,0.6583993434906006,31.3199997,43.79999999888241,747642.3,4308820.5,747641.6,4308819.4,747647.6,4308826.7,A,I,5,5
3346,981a6667-e206-42bf-ac8b-8bf341276a76,3346,cato,108.0,11166.8654495662,0.658371090888977,27.4415996,27.030000002605377,747400.9,4308993.6,747395.9,4308989.3,747401.2,4308994.4,A,main,4,4
7405,e8839c0b-fca2-4140-bc4c-f3aedc968cb2,7405,amar,53.0,1863.29561715524,0.6582273244857788,23.9145996,27.030000002605377,747484.7,4308710.5,747482.4,4308706.6,747487.7,4308711.7,A,main,4,4
10002,5689fb45-662f-4ef8-a49f-a14af58b9ab2,10002,nysy,216.0,62699.3928900332,0.6566481590270996,30.7428998,79.2000000004191,747519.7,4308903.6,747513.5,4308895.0,747522.3,4308904.0,A,main,5,5
16835,9595d421-866e-4782-8083-b70cdbe71518,16835,cagl,371.0,187208.866622917,0.6562987565994263,29.4805009,32.44999999948777,747595.1,4308984.8,747590.3,4308979.4,747596.2,4308984.9,A,main,5,5
26949,7d46414d-98da-4039-a53d-66712edbaa18,26949,quru,322.0,115553.805044482,0.6555067896842957,27.6560004,40.02000000248197,747737.3,4308864.7,747732.5,4308859.3,747738.3,4308866.2,A,main,5,5
21835,0bcdb57e-06e3-4274-a67a-5158ae415e57,21835,cato,108.0,11166.8654495662,0.6547827124595642,32.1210009,19.799999999580905,747674.1,4308877.3,747671.8,4308875.8,747676.2,4308880.3,A,main,4,4
24110,440ff4ab-9369-4419-ab01-ecac75f190e2,24110,libe,49.0,1577.69452964427,0.6546356678009033,35.3012012,27.560000001229344,747706.1,4308542.5,747704.6,4308538.8,747709.9,4308544.0,A,J;M;L,4,4
